t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751864.4509456,5013.54,-1914.79,136.49,-37.26,62.5,38.96,5050.8,-1852.29,175.45000000000002,5050.8,-1852.29,175.45000000000002
1759751864.510655,5012.34,-1914.79,133.58,-36.06,61.3,38.96,5048.400000000001,-1853.49,172.54000000000002,5048.400000000001,-1853.49,172.54000000000002
1759751864.6303313,5013.54,-1915.99,134.55,-37.26,62.5,36.3,5050.8,-1853.49,170.85000000000002,5050.8,-1853.49,170.85000000000002
1759751864.6907985,5014.74,-1914.79,134.07,-37.26,63.71,36.78,5052.0,-1851.08,170.85,5052.0,-1851.08,170.85
1759751864.7504203,5011.14,-1913.58,134.07,-38.46,61.3,36.78,5049.6,-1852.28,170.85,5049.6,-1852.28,170.85
1759751864.810512,5013.54,-1913.58,132.62,-36.06,62.5,37.27,5049.6,-1851.08,169.89000000000001,5049.6,-1851.08,169.89000000000001
1759751864.9306922,5012.34,-1913.58,133.34,-37.26,62.5,37.99,5049.6,-1851.08,171.33,5049.6,-1851.08,171.33
1759751864.9906497,5011.14,-1912.38,131.89,-37.26,62.5,37.75,5048.400000000001,-1849.88,169.64,5048.400000000001,-1849.88,169.64
1759751865.1104808,5013.54,-1912.38,132.86,-37.26,62.5,36.54,5050.8,-1849.88,169.4,5050.8,-1849.88,169.4
1759751865.1114767,5011.14,-1912.38,132.37,-36.06,63.71,38.24,5047.200000000001,-1848.67,170.61,5047.200000000001,-1848.67,170.61
1759751865.2301726,5012.34,-1912.38,128.5,-37.26,62.5,36.54,5049.6,-1849.88,165.04,5049.6,-1849.88,165.04
1759751865.290365,5009.94,-1912.38,128.26,-37.26,62.5,38.72,5047.2,-1849.88,166.98,5047.2,-1849.88,166.98
1759751865.3509858,5009.94,-1911.18,129.47,-36.06,62.5,37.75,5046.0,-1848.68,167.22,5046.0,-1848.68,167.22
1759751865.4707265,5009.94,-1909.98,127.78,-36.06,62.5,37.75,5046.0,-1847.48,165.53,5046.0,-1847.48,165.53
1759751865.5900168,5009.94,-1909.98,126.57,-36.06,62.5,37.27,5046.0,-1847.48,163.84,5046.0,-1847.48,163.84
1759751865.5910223,5009.94,-1911.18,124.39,-36.06,63.71,37.75,5046.0,-1847.47,162.14,5046.0,-1847.47,162.14
