t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759749894.7785928,7077.38,-6678.31,726.97,-20.43,-22.84,35.09,7097.81,-6701.150000000001,762.0600000000001,7097.81,-6701.150000000001,762.0600000000001
1759749894.8396327,7074.97,-6677.11,723.58,-20.43,-22.84,36.3,7095.400000000001,-6699.95,759.88,7095.400000000001,-6699.95,759.88
1759749894.8993866,7073.77,-6675.91,727.21,-19.23,-22.84,35.33,7093.0,-6698.75,762.5400000000001,7093.0,-6698.75,762.5400000000001
1759749895.017595,7073.77,-6675.91,725.76,-20.43,-24.04,35.33,7094.200000000001,-6699.95,761.09,7094.200000000001,-6699.95,761.09
1759749895.0778165,7076.17,-6677.11,726.97,-19.23,-24.04,34.85,7095.4,-6701.15,761.82,7095.4,-6701.15,761.82
1759749895.198234,7073.77,-6675.91,724.06,-19.23,-22.84,34.85,7093.0,-6698.75,758.91,7093.0,-6698.75,758.91
1759749895.3184307,7072.57,-6675.91,725.27,-19.23,-24.04,35.09,7091.799999999999,-6699.95,760.36,7091.799999999999,-6699.95,760.36
1759749895.377729,7074.97,-6674.71,723.82,-20.43,-22.84,33.4,7095.400000000001,-6697.55,757.22,7095.400000000001,-6697.55,757.22
1759749895.440302,7076.17,-6677.11,724.55,-19.23,-22.84,35.09,7095.4,-6699.95,759.64,7095.4,-6699.95,759.64
1759749895.5576065,7074.97,-6675.91,725.52,-19.23,-21.64,35.57,7094.2,-6697.55,761.09,7094.2,-6697.55,761.09
1759749895.619151,7077.38,-6677.11,722.37,-20.43,-24.04,36.06,7097.81,-6701.15,758.4300000000001,7097.81,-6701.15,758.4300000000001
1759749895.738177,7073.77,-6672.3,723.34,-19.23,-22.84,37.27,7093.0,-6695.14,760.61,7093.0,-6695.14,760.61
1759749895.9171534,7073.77,-6675.91,724.55,-20.43,-22.84,35.33,7094.200000000001,-6698.75,759.88,-13.726744186044016,11.821627906975664,-29.603255813953638
1759749895.9191535,7073.77,-6675.91,714.38,-20.43,-22.84,34.61,7094.200000000001,-6698.75,748.99,-13.726744186044016,11.821627906975664,-40.493255813953624
1759749895.977994,7074.97,-6674.71,722.85,-20.43,-22.84,37.51,7095.400000000001,-6697.55,760.36,-12.526744186044198,13.021627906975482,-29.12325581395362
1759749896.0986648,7073.77,-6675.91,723.58,-20.43,-24.04,33.15,7094.200000000001,-6699.95,756.73,-13.726744186044016,10.621627906975846,-32.753255813953615
1759749896.1579053,7074.97,-6675.91,720.68,-20.43,-22.84,35.09,7095.400000000001,-6698.75,755.77,-12.526744186044198,11.821627906975664,-33.71325581395365
1759749896.2782826,7073.77,-6677.11,725.03,-19.23,-22.84,35.33,7093.0,-6699.95,760.36,-14.926744186044743,10.621627906975846,-29.12325581395362
1759749896.2805233,7072.57,-6673.5,723.34,-20.43,-22.84,36.06,7093.0,-6696.34,759.4000000000001,-14.926744186044743,14.231627906975518,-30.083255813953542
1759749896.3984656,7073.77,-6677.11,723.34,-20.43,-24.04,35.09,7094.200000000001,-6701.15,758.4300000000001,-13.726744186044016,9.421627906976028,-31.05325581395357
1759749896.4590237,7073.77,-6675.91,725.27,-20.43,-22.84,35.57,7094.200000000001,-6698.75,760.84,-13.726744186044016,11.821627906975664,-28.6432558139536
1759749896.517995,7072.57,-6677.11,720.43,-21.64,-24.04,35.33,7094.21,-6701.15,755.76,-13.716744186044707,9.421627906976028,-33.72325581395364
1759749896.6385686,7076.17,-6677.11,722.13,-20.43,-24.04,36.54,7096.6,-6701.15,758.67,-11.32674418604438,9.421627906976028,-30.813255813953674
1759749896.6988177,7072.57,-6675.91,723.82,-20.43,-21.64,35.57,7093.0,-6697.55,759.3900000000001,-14.926744186044743,13.021627906975482,-30.093255813953533
1759749896.7589736,7074.97,-6674.71,724.06,-20.43,-22.84,37.03,7095.400000000001,-6697.55,761.0899999999999,-12.526744186044198,13.021627906975482,-28.393255813953715
1759749896.8192697,7073.77,-6675.91,723.58,-21.64,-22.84,35.33,7095.410000000001,-6698.75,758.9100000000001,-12.51674418604398,11.821627906975664,-30.57325581395355
1759749896.9979782,7074.97,-6675.91,722.13,-20.43,-22.84,35.09,7095.400000000001,-6698.75,757.22,-12.526744186044198,11.821627906975664,-32.263255813953606
1759749896.9999783,7071.37,-6675.91,722.13,-21.64,-22.84,35.33,7093.01,-6698.75,757.46,-14.916744186044525,11.821627906975664,-32.0232558139536
1759749897.0579119,7076.17,-6675.91,722.13,-20.43,-22.84,34.85,7096.6,-6698.75,756.98,-11.32674418604438,11.821627906975664,-32.503255813953615
1759749897.1786144,7076.17,-6675.91,723.34,-20.43,-24.04,35.33,7096.6,-6699.95,758.6700000000001,-11.32674418604438,10.621627906975846,-30.81325581395356
1759749897.2388253,7070.16,-6672.3,717.05,-20.43,-24.04,36.3,7090.59,-6696.34,753.3499999999999,-17.336744186044598,14.231627906975518,-36.133255813953724
1759749897.2995539,7071.37,-6673.5,719.95,-19.23,-22.84,35.33,7090.599999999999,-6696.34,755.2800000000001,-17.32674418604529,14.231627906975518,-34.20325581395355
1759749897.3585,7073.77,-6675.91,724.55,-21.64,-22.84,35.09,7095.410000000001,-6698.75,759.64,-12.51674418604398,11.821627906975664,-29.843255813953647
1759749897.4787164,7073.77,-6674.71,720.43,-20.43,-22.84,33.88,7094.200000000001,-6697.55,754.31,-13.726744186044016,13.021627906975482,-35.17325581395369
1759749897.5381267,7072.57,-6674.71,719.47,-20.43,-22.84,35.57,7093.0,-6697.55,755.0400000000001,-14.926744186044743,13.021627906975482,-34.443255813953556
1759749897.5978734,7072.57,-6674.71,719.71,-19.23,-22.84,34.36,7091.799999999999,-6697.55,754.07,-16.12674418604547,13.021627906975482,-35.41325581395358
1759749897.718139,7071.37,-6674.71,720.19,-19.23,-22.84,35.09,7090.599999999999,-6697.55,755.2800000000001,-17.32674418604529,13.021627906975482,-34.20325581395355
1759749897.7788055,7070.16,-6671.1,712.45,-20.43,-24.04,36.54,7090.59,-6695.14,748.99,-17.336744186044598,15.431627906975336,-40.493255813953624
1759749897.8394144,7071.37,-6674.71,720.68,-19.23,-24.04,35.82,7090.599999999999,-6698.75,756.5,-17.32674418604529,11.821627906975664,-32.98325581395363
1759749897.8978088,7073.77,-6671.1,713.9,-20.43,-22.84,35.33,7094.200000000001,-6693.9400000000005,749.23,-13.726744186044016,16.631627906975154,-40.253255813953615
1759749898.0181806,7070.16,-6673.5,718.98,-20.43,-22.84,34.85,7090.59,-6696.34,753.83,-17.336744186044598,14.231627906975518,-35.65325581395359
1759749898.1386359,7070.16,-6673.5,714.63,-20.43,-22.84,36.06,7090.59,-6696.34,750.69,-17.336744186044598,14.231627906975518,-38.79325581395358
1759749898.1407123,7071.37,-6673.5,718.5,-20.43,-24.04,36.3,7091.8,-6697.54,754.8,-16.12674418604456,13.0316279069757,-34.68325581395368
1759749898.2576032,7071.37,-6675.91,714.87,-20.43,-22.84,33.4,7091.8,-6698.75,748.27,-16.12674418604456,11.821627906975664,-41.21325581395365
1759749898.3789573,7072.57,-6673.5,715.11,-19.23,-22.84,34.12,7091.799999999999,-6696.34,749.23,-16.12674418604547,14.231627906975518,-40.253255813953615
1759749898.3814964,7071.37,-6674.71,715.84,-20.43,-22.84,34.12,7091.8,-6697.55,749.96,-16.12674418604456,13.021627906975482,-39.5232558139536
1759749898.5002296,7071.37,-6672.3,717.53,-20.43,-21.64,35.33,7091.8,-6693.9400000000005,752.86,-16.12674418604456,16.631627906975154,-36.62325581395362
1759749898.558197,7068.96,-6671.1,713.9,-20.43,-22.84,36.3,7089.39,-6693.9400000000005,750.1999999999999,-18.536744186044416,16.631627906975154,-39.2832558139537
1759749898.639185,7071.37,-6672.3,717.29,-19.23,-24.04,34.12,7090.599999999999,-6696.34,751.41,-17.32674418604529,14.231627906975518,-38.073255813953665
1759749898.677724,7070.16,-6671.1,715.11,-20.43,-22.84,33.88,7090.59,-6693.9400000000005,748.99,-17.336744186044598,16.631627906975154,-40.493255813953624
1759749898.7977521,7070.16,-6674.71,716.08,-20.43,-24.04,33.64,7090.59,-6698.75,749.72,-17.336744186044598,11.821627906975664,-39.763255813953606
1759749898.8593574,7072.57,-6673.5,719.22,-20.43,-22.84,33.88,7093.0,-6696.34,753.1,-14.926744186044743,14.231627906975518,-36.38325581395361
1759749898.9194996,7071.37,-6672.3,715.59,-19.23,-24.04,34.12,7090.599999999999,-6696.34,749.71,-17.32674418604529,14.231627906975518,-39.7732558139536
1759749898.978581,7070.16,-6673.5,713.9,-20.43,-22.84,35.09,7090.59,-6696.34,748.99,-17.336744186044598,14.231627906975518,-40.493255813953624
1759749899.098762,7070.16,-6671.1,713.17,-20.43,-22.84,34.85,7090.59,-6693.9400000000005,748.02,-17.336744186044598,16.631627906975154,-41.46325581395365
1759749899.157921,7070.16,-6672.3,713.42,-19.23,-24.04,33.88,7089.389999999999,-6696.34,747.3,-18.536744186045325,14.231627906975518,-42.18325581395368
1759749899.2192469,7068.96,-6672.3,711.96,-19.23,-22.84,34.36,7088.19,-6695.14,746.32,-19.736744186045144,15.431627906975336,-43.16325581395358
1759749899.3382604,7071.37,-6671.1,714.14,-20.43,-22.84,34.12,7091.8,-6693.9400000000005,748.26,-16.12674418604456,16.631627906975154,-41.22325581395364
1759749899.3994222,7067.76,-6668.7,717.05,-19.23,-22.84,34.85,7086.99,-6691.54,751.9,-20.93674418604496,19.0316279069757,-37.583255813953656
1759749899.4589965,7071.37,-6671.1,711.72,-20.43,-24.04,34.85,7091.8,-6695.14,746.57,-16.12674418604456,15.431627906975336,-42.91325581395358
1759749899.518008,7068.96,-6671.1,714.14,-20.43,-22.84,35.33,7089.39,-6693.9400000000005,749.47,-18.536744186044416,16.631627906975154,-40.013255813953606
1759749899.6380572,7070.16,-6673.5,713.42,-19.23,-22.84,34.36,7089.389999999999,-6696.34,747.78,-18.536744186045325,14.231627906975518,-41.70325581395366
1759749899.6976738,7070.16,-6672.3,715.59,-19.23,-24.04,34.61,7089.389999999999,-6696.34,750.2,-18.536744186045325,14.231627906975518,-39.28325581395359
1759749899.7583725,7070.16,-6673.5,718.01,-20.43,-22.84,34.12,7090.59,-6696.34,752.13,-17.336744186044598,14.231627906975518,-37.35325581395364
1759749899.876922,7070.16,-6673.5,716.32,-20.43,-22.84,34.61,7090.59,-6696.34,750.9300000000001,-17.336744186044598,14.231627906975518,-38.55325581395357
1759749899.9380965,7067.76,-6672.3,711.72,-20.43,-24.04,35.82,7088.1900000000005,-6696.34,747.5400000000001,-19.736744186044234,14.231627906975518,-41.943255813953556
1759749899.998903,7067.76,-6671.1,714.87,-20.43,-22.84,35.33,7088.1900000000005,-6693.9400000000005,750.2,-19.736744186044234,16.631627906975154,-39.28325581395359
1759749900.0580962,7068.96,-6671.1,712.69,-20.43,-24.04,34.12,7089.39,-6695.14,746.8100000000001,-18.536744186044416,15.431627906975336,-42.673255813953574
1759749900.1773288,7070.16,-6671.1,714.87,-20.43,-24.04,35.57,7090.59,-6695.14,750.44,-17.336744186044598,15.431627906975336,-39.04325581395358
